listing_id,zipcode,latitude,longitude,property_type,room_type,bathrooms,bedrooms,beds,minimum_nights,host_listings_count,instant_bookable,cancellation_policy,is_business_travel_ready,price_per_person,host_is_superhost
38585,28804,35.65146,-82.62792,Private room in house,Private room,1,1,2,1,1,f,moderate,f,30,t
67870,28806,35.55370677,-82.62629725,Guest suite,Entire home/apt,1,1,1,1,2,t,moderate,f,42.5,t
80331,28803,35.56914966,-82.5497147,Bed & Breakfast,Private room,1,1,1,2,4,f,strict,,57.5,f
80713,28801,35.5867815,-82.54927731,House,Private room,1.5,1,1,1,11,t,strict_14_with_grace_period,f,22,f
80905,28801,35.59779,-82.5554,Entire loft,Entire home/apt,2,3,6,1,14,t,super_strict_60,f,39.16666667,t
80965,28801,35.60529127,-82.55627389,House,Entire home/apt,1,2,2,30,1,f,strict_14_with_grace_period,f,56.25,f
86980,28801,35.585129,-82.55087091,House,Private room,1.5,1,1,30,11,f,strict_14_with_grace_period,f,45,f
86981,28801,35.58656364,-82.54911886,House,Private room,1.5,1,1,1,4,t,strict_14_with_grace_period,f,38.5,f
86983,28801,35.58673916,-82.55093299,House,Entire home/apt,1.5,5,7,30,11,f,strict_14_with_grace_period,f,49.5,f
86984,28801,35.58664099,-82.55038727,House,Private room,1.5,1,2,1,11,t,strict_14_with_grace_period,f,18,f
108061,28801,35.6067,-82.55563,Entire rental unit,Entire home/apt,1,1,1,30,2,f,strict_14_with_grace_period,f,60,f
108396,28801,35.60346328,-82.5603554,House,Private room,2.5,1,3,30,1,f,strict_14_with_grace_period,f,36.66666667,f
130411,28801,35.59560538,-82.54499249,Apartment,Entire home/apt,1,2,3,2,2,f,moderate,f,15,f
136547,28806,35.5774432,-82.60731803,House,Entire home/apt,1,2,2,3,1,f,moderate,,24.75,f
155305,28806,35.57864,-82.59578,Entire guesthouse,Entire home/apt,1,1,1,1,7,t,moderate,f,45,f
156805,28806,35.57864,-82.59578,Private room in residential home,Private room,2.5,1,1,1,7,t,moderate,f,33,f
156926,28806,35.57864,-82.59578,Shared room in hostel,Shared room,2.5,1,6,1,7,t,moderate,f,33,f
160594,28801,35.61442,-82.54127,Private room in residential home,Private room,1,1,1,30,1,f,moderate,f,62.5,f
180510,28805,35.58978562,-82.53413848,House,Private room,2,1,1,3,2,f,moderate,,75,f
189916,28801,35.59055,-82.55447,House,Private room,1,1,1,2,1,f,flexible,f,63.5,f
193830,28801,35.60736,-82.56678,Apartment,Entire home/apt,1,1,1,30,5,f,strict_14_with_grace_period,f,47.5,t
197263,28806,35.57808,-82.63689,Private room in residential home,Private room,1,1,1,2,1,f,strict,,22.5,f
209068,28804,35.61856,-82.55276,Entire guest suite,Entire home/apt,1,1,2,30,1,f,strict_14_with_grace_period,f,33.5,f
213006,28806,35.58345,-82.59713,Private room in bungalow,Private room,1,1,1,2,1,f,moderate,f,58,t
216365,28803,35.52853788,-82.53157084,House,Entire home/apt,3,5,7,3,1,f,moderate,,28.9,f
233377,28801,35.60672253,-82.56658762,Apartment,Entire home/apt,1,1,1,3,6,f,moderate,f,52.5,t
246315,28805,35.59635,-82.50655,Private room in cabin,Private room,1,1,1,3,2,f,strict_14_with_grace_period,f,34,t
257865,28803,35.49380361,-82.5278863,House,Private room,1.5,1,1,2,3,t,strict_14_with_grace_period,f,30,f
259576,28805,35.61929,-82.48114,Entire rental unit,Entire home/apt,1,1,1,1,2,t,moderate,f,38,t
266511,28806,35.57558111,-82.62304912,Apartment,Entire home/apt,1,1,1,1,1,f,moderate,f,35,t
273534,28803,35.55294,-82.48995,Apartment,Entire home/apt,1.5,1,1,2,3,t,strict_14_with_grace_period,f,30,t
284022,28715,35.54057145,-82.70526858,House,Private room,1.5,1,1,1,2,f,moderate,,27.5,t
284063,28715,35.54226244,-82.70463465,House,Private room,1.5,1,1,1,2,t,moderate,,30,t
284690,28806,35.60441,-82.59997,Guest suite,Entire home/apt,1,1,2,2,6,f,moderate,f,25,t
291937,28801,35.59087,-82.55143,Apartment,Entire home/apt,1,1,1,2,3,t,strict_14_with_grace_period,f,125,t
295496,28803,35.55537,-82.53539,Entire rental unit,Entire home/apt,1,1,0,90,1,f,strict_14_with_grace_period,f,25,f
304379,28804,35.64453,-82.52586,Entire guesthouse,Entire home/apt,1,2,2,30,2,f,moderate,f,72.25,t
326772,28803,35.55326,-82.49139,House,Entire home/apt,1,1,2,2,3,t,strict_14_with_grace_period,f,50,t
353092,28806,35.58217,-82.59997,Entire guest suite,Entire home/apt,1,1,3,2,1,t,moderate,f,18.75,f
405981,28801,35.59643085,-82.53815488,House,Entire home/apt,1,1,1,1,1,f,strict,,65,t
427497,28803,35.49111,-82.48438,Entire guest suite,Entire home/apt,1,1,1,2,1,f,moderate,f,62.5,f
433646,28801,35.57771,-82.56094,Entire residential home,Entire home/apt,1.5,2,2,30,4,f,strict_14_with_grace_period,f,44.66666667,t
435770,28801,35.60354912,-82.57154962,House,Entire home/apt,1.5,4,6,2,1,f,strict,,36,f
436476,28801,35.60182,-82.56174,Entire guest suite,Entire home/apt,1.5,1,1,2,4,t,moderate,f,66,t
444540,28801,35.59114798,-82.55253315,House,Entire home/apt,1,1,1,3,9,f,strict,,44,t
483384,28806,35.56118,-82.57784,Entire cottage,Entire home/apt,1,1,1,1,2,t,flexible,f,45.66666667,t
485144,28806,35.57780398,-82.57856478,Bungalow,Entire home/apt,1,2,3,7,3,f,strict,f,31.25,f
495111,28801,35.60371,-82.55621,Private room in residential home,Private room,1,0,1,2,3,t,strict_14_with_grace_period,f,40,t
498089,28801,35.61115,-82.54376,Entire rental unit,Entire home/apt,1,1,1,30,1,f,strict_14_with_grace_period,f,37.5,t
528535,28801,35.60075,-82.5539,Entire guest suite,Entire home/apt,1,1,1,90,2,f,moderate,f,27.5,f
536425,28704,35.4869282,-82.59357674,Apartment,Entire home/apt,1,1,2,2,1,f,moderate,,28.75,f
539020,28806,35.57318,-82.59976,Entire apartment,Entire home/apt,1,1,2,2,0,f,flexible,f,18.5,t
554648,28805,35.58632565,-82.53714724,House,Entire home/apt,1,2,2,2,1,f,strict,,37.5,f
563189,28803,35.57398,-82.54488,House,Private room,1,1,1,2,1,f,moderate,f,30,t
579405,28801,35.60719787,-82.56666306,Apartment,Entire home/apt,1,1,1,30,6,f,strict,f,48.5,t
597424,28806,35.55384938,-82.62667905,Guest suite,Entire home/apt,1,2,2,1,2,t,moderate,f,20,t
612660,28806,35.57901,-82.58887,Bungalow,Entire home/apt,2,2,2,30,2,f,strict_14_with_grace_period,f,32.5,f
620049,28803,35.55330285,-82.45993648,House,Entire home/apt,1,1,1,2,1,f,moderate,,52.5,f
621243,28801,35.60418,-82.54964,Entire rental unit,Entire home/apt,1,1,2,30,2,t,strict_14_with_grace_period,f,79,t
624166,28805,35.61927747,-82.45595271,Apartment,Entire home/apt,1,1,2,2,1,f,strict,,19.75,t
632766,28801,35.60460522,-82.56517898,House,Entire home/apt,1,2,3,2,1,t,strict,f,52.5,f
634319,28805,35.62839,-82.47989,Entire apartment,Entire home/apt,1.5,2,2,3,1,f,strict_14_with_grace_period,f,43.75,f
638349,28806,35.58323,-82.59206,Entire residential home,Entire home/apt,1,2,2,14,2,f,strict_14_with_grace_period,f,31.25,f
642204,28804,35.66327078,-82.58972319,House,Entire home/apt,3.5,4,5,3,22,f,strict,,33.5,f
